sentences	audioFilename
आम आदमी आशेन रावला	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Contemporary Text-T1_SP-0075_T1-0075.wav
‘वांगडी’ कविता भावली	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Contemporary Text-T1_SP-0242_T1-0242.wav
कोंकणीची स्वाभावीक लिपी देवनागरीय	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Contemporary Text-T1_SP-0315_T1-0315.wav
तशें जावंक फावना	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Contemporary Text-T1_SP-0382_T1-0382.wav
विजे बाबतींत तडजोड नाका!	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Contemporary Text-T1_SP-0189_T1-0189.wav
संवसारांत फुटबॉल, टेनीस खेळ आघाडेचेर आसले तरी क्रिकेटीनूय आपली हवा केल्या. अर्थीक नदरेन खेळगड्यांक आनी साबार संस्थांक क्रिकेट खूब फायदेशीर थारल्या. 25 जून 1983 दिसा भारतान लंडनाच्या लॉर्डस मैदानाचेर तेन्नाच्या बळिश्ट वेस्ट इंडिजाक हारोवन प्रुडेन्शियल वर्ल्ड कप जिखलें. तो दीस भारतांत क्रिकेटीची क्रांती घडोवपी थारलो. दिमखऱयांनी चलपी क्रिकेट तेन्ना ल्हान ल्हान पावलां मारपाक लागली. आयज 27 वर्सा उपरांत भारतांत क्रिकेट वाऱयाच्या वेगान धांवपाक लागल्या. निदान अर्थीक मळार तरी! बोर्ड ऑफ क्रिकेट कंट्रोल इन इंडिया (बीसीसीआय) हो संवसारांतल्या क्रिकेट संघटनांमदीं सगळ्यांत गिरेस्त. आमचे जायते खेळगडेय पयशांचे राशीर लोळटात. हाचे वयल्यान आमच्या भारतांत क्रिकेटीची स्थिती व्हडलीशी वायट ना हें कोणूय कबूल करतलो. 	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Contemporary Text-T1_SP-0065_T1-0065.wav
बारा बिरेस्तार शिक्षणाचे	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Contemporary Text-T1_SP-0408_T1-0408.wav
विद्यार्थ्यांक संमेलनां, परिशदांनीय वांटेकार जावपाक प्रोत्साहन दिवचें.	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Contemporary Text-T1_SP-0068_T1-0068.wav
आसूं थंय !	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Contemporary Text-T1_SP-0350_T1-0350.wav
अपत्य – प्रेम	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Contemporary Text-T1_SP-0359_T1-0359.wav
"बायलांचेर जावपी अत्याचार थांबपाक जाय शीतयुद्धा वेळार रशियेन अफगाणिस्तानाचेर केल्लें आक्रमण. त्या उपरांत पयलीं मुजाहिद्दीन आनी मागीर तालिबानाचो जाल्लो उदय. अमेरिकेच्या लश्करी बळग्यार मुजाहिद्दीनांनी रशियेक घेवपाक लायिल्ली माघार. अमेरिकेच्याच तेंक्यान जल्माक आयिल्ले तालिबानी. मुजाहिद्दीनांक धांवडान ताणी अफगाणिस्तानांत मेळयिल्ली सत्ता. सावदी अरेबियान धांवडायल्ल्या ओसामा बिन लादेनाक दिल्लो राजकी आश्रय. तालिबानी जंगली राजवटींत अफगाण बायलांचेर जाल्ले अत्याचार. अमेरिकेच्या वर्ल्ड ट्रेड सेंटराचेर जाल्लो आकांतवादी हल्लो. अल-कायदाचो सर्वेसर्वा ओसामाक ताब्यांत दिवपाक न्हयकार दिल्ले खातीर अमेरिकेन अफगाणिस्तानाचेर घातिल्ली  घुरी. ह्या सगळ्या घडणुकांक लागून अफगाणिस्तान हो एक तेंपातलो संपन्न देश सध्या आदिम युगा कडेन पावपाक लागला. हमीद करजाई ह्या मवाळ फुडाऱयाच्या हातांत अफगाणिस्तानाची सत्ता आयिल्ल्यान देशांत सुदारणा जातली. बायलांक तांचे सगळे हक्क मेळटले अशें दिसतालें. मात हालींच एक खबर वाचली आनी हो देश अजूनय आदिम युगांत वावुरता अशें दिसपाक लागलें. अफगाणिस्तानांत हालींच एक कायदो केला. ताचे वरवीं घरकान्नीन शारिरीक संबंदाची मागणी न्हयकारल्यार शिया समुदायांतल्या दादल्याक तिका उपाशी दवरपाचो हक्क दिला. बलात्कारा संबंदीय असोच एक कायदो केला. बलात्काराच्या गुन्यांवातल्यान वाटावपा खातीर दादल्यांक एक पळवाट तातूंत दवरल्या. बलात्कारा वेळार जखमी जाल्ले चलयेक रगत दिल्यार बलात्काराच्या गुन्यांवातल्यान संबंदीत दादल्याक सोडपाची तजवीज ह्या कायद्यांत केल्या. अमेरिकी सैन्याचे सावळेंत रावन सत्ता भोगपी करजाई सरकारान असले कायदे करप म्हणल्यार थंयच्या बायलांच्या दुर्दैवाचे दशावतार अजून सोंपूक ना अशें म्हणचें पडटा. अफगाण समाज हो पुरुश सत्ताक. बायलो म्हणल्यार भोग वस्तु हो आदिम युगांलो समज थंय सध्याच्या 21 व्या शेंकड्यांत लेगीत आसा तसोच आसा. अफगाणिस्तानांत सरकार कोणाचेय आसूं. बायलांचो मान-सन्मान, इत्सा-अनित्सा हाका थंय कसलीय सुवात ना अशें आतां दिसपाक लागलां.तशें पळोवपाक गेल्यार संवसारांत सगळ्या देशांनी बायलांचेर अत्याचार जातात. अमेरिके सारको विकसीत देश लेगीत हाका आडवाद ना. मात थंय जाल्लीं अत्याचाराची सगळीं प्रकरणां उक्ताडार येतात अशें न्हय. मोनिका लॅवेन्स्की प्रकरण संवसारभर जालें. कित्याक तर तातूंत बिल क्लिंटन हो अमेरिकेचो राष्ट्राध्यक्ष घुस्पल्लो. हें प्रकरण तशें उक्ताडार येनाशिल्लें. क्लिंटनाकडेन आशिल्ल्या आपल्या लिंगीक संबंदाची गजाल एक नविदाद ह्या अर्थान मोनिकान आपले एके इश्टिणीक सांगली. तिका तिचें गांभीर्य कळलें आनी फुडलें सगळें प्रकरण घडलें. आमच्या भारतांत सगळें ऑलबेल आसा अशें कांय ना. लोकशाय शासन प्रणाली आशिल्ल्या आमच्या भारत देशांत उत्तरे कडल्या राज्यांतल्यो कांय जाती पंचायती बायलां आड आपल्याक जाय तसीं फर्मानां काडटात. केन्नाय बायलेक आपलें पावित्र्य सिद्ध करून दाखोवपा खातीर तापिल्ले वार्रांव हातांत घेवन चलचें पडटा. बलात्कार करतल्याकडेन लग्र जावपाचो वा ज्योत्यांनी धा फावट मारून ताका माफ करपाचो हुकूम बलात्काराक बळी पडिल्ले अस्तुरेक दितात. हुंड्याच्या अत्याचाराच्या एका प्रकरणांत सर्वोच्च न्यायालयाचो एक प्रतिगामी अभिप्राय ही तेंगशी म्हणपाक जाय. ह्या अभिप्रायाआड वेगवेगळ्या महिला संघटनांनीच न्हय तर राष्ट्रीय महिला आयोगान लेगीत आवाज काडला. सर्वोच्च न्यायालयाच्या अभिप्रायाप्रमाण मायन आपले सुनेक थापटावप, तिका घटस्फोटाची धमकी दिवप, चल्याक तिचे आड फुसलावप, घरकामाच्या नांवान उलोवप, घालपाक कपडे दिवप ना हे अत्याचार थारनात आनी तांच्या आदारान कोणाकूय हुंडो प्रकरणांत दोशी थारावपाक जायना. ह्या निर्णया आड राष्ट्रीय महिला आयोगाची अध्यक्ष गिरिजा व्यास तशेंच मार्क्सवादी कम्युनिस्ट पक्षाच्या पॉलिट ब्युरोची वांगडी वृंदा करातान सर्वोच्च न्यायालयांत याचिका सादर करून ह्या निर्णयाचो पेर नियाळ घेवपाची मागणी केल्या. हुंड्या खातीर आपलो छळ चल्ला अशी कागाळ करपी मोनिका हे अस्तुरेन लेगीत हो निर्णय मानून घेवपाक न्हयकार दिला आनी फेरनियाळा खातीर अर्ज सादर केला. परंपरा आनी रिती-रिवाजा प्रमाण घोव तशेंच माय-मावांक दिल्ल्यो भेटी ‘स्त्रीधन’ हे व्याख्येंत येनात. लग्र जाल्ले बायलेची दिल्ल्या घरांतल्या लोका विशीं हुंड्याची कागाळ ना जाल्यार मारपेट, उलोवप तशेंच सादीं झगडीं असले प्रकार भारतीय दंड संहितेच्या कलम 498 अ खाला येनात अशेंय सर्वोच्च न्यायालयान सांगलां. सर्वोच्च न्यायालयाचो हो अभिप्राय बायलांचे त्रास वाडोवपी असोच आसा. तांच्या रक्षणा खातीर जे कायदे केल्यात तांचो प्रभावलेगीत हाका लागून उणो जावपाची भिरांत आसा. खंयचेय बायलेक उलोवप वा थापटावप हो एक तरेचो घरगुती अत्याचारूच. बायलेचें मनोबळ उणे करपासारक्यो गजाली करप हो लेगीत एके तरेचो अत्याचार. सर्वोच्च न्यायालयाच्या अभिप्रायाक लागून घरगुती अत्याचाराक मागीर तो शारिरीक, मानसीक वा भावनात्मक आसूं ताका बळगें मेळपाक शकता. बायलेक मारपी घोवाक जल मेळपाक शकता. दादल्यांक बायलांचो छळ करपाचें लायसन मेळिल्लेवरीं जावपाक शकता अशें गिरिजी व्यासाक दिसता. ते खातीर महिला संघटनांनी सर्वोच्च न्यायालयाच्या अभिप्राया आड आवाज काडप सभावीक थारता. हुंड्याक संवकल्ल्या लोकांचे वटेन दिल्लो कसलोच निर्णय तांकां गुन्यांक करपाक ऊर्बा दिवपी थारपाक शकता अशें तिका दिसता. राष्ट्रीय गुन्यांव नोंद ब्युरोन दिल्ल्या आंकड्या प्रमाण भारतांत हुंड्याच्या कारणांक लागून दर वर्सा 6 हजारां परस चड बायलो मरतात. भारतीय दंड संहितेंतल्या हुंडो विरोधी कलम 498 अ खाला देश भरयां सुमार 70 हजार गुन्यांव नोंद जाल्ले आसात. संयुक्त राष्ट्रांच्या लोकसंख्या निधीच्या अहवाला प्रमाण भारतांत 15 ते 49 वर्सां पिरायेच्यो 70 टक्के बायलो कसल्या ना कसल्या तरी घरगुती अत्याचाराच्यो बळी थारतात. राष्ट्रीय महिला आयोगा कलम 498 अ हें बायलांचें ब्रह्मास्त्र मानता. तें आनीकूय खर करपाची तांची मागणी आसा. बायलांक दिसपट्टें कसल्या ना कसल्या तरी अत्याचाराक तोंड दिवचें पडटा. हें खंय तरी बंद जावपाक जाय. घरकामाक दवरिल्ले सान चलयेक कायलातो तापोवन आंगार दाग दिवपाची घडणूक पर्वरेच्या औदुंबर पेडणेकर घराब्यान करून दाखयल्या. हीं रानवटीपणां करून दाखोवपी दोग बायलो आसात ही सामकी दुख्खदिणी गजाल. दादाले बायलांचेर अन्याय करतात हें सगळ्यांक मान्य आसा. पूण बायलोच बायलांचेर अत्याचार करपाक मातूय अनमनात. तांचेर खर कारवाय करपाची तजवीज आशिल्लो कायदो करपाचीय गरज आसा.इस्लाम धर्मांत बायलांक दुय्यम सुवात दिल्या. इस्लामी देशांत बायलो म्हणल्यार किंकोत अशें समजून तांचेर अत्याचार जातात. तें सोंसप म्हणल्यार आपलो धर्म अशें इस्लामी बायलांक दिसता. भारता सारक्या निर्धमी, लोकशाय देशांत सगळ्यांक समानतेची वागणूक मेळपाक जाय अशी अपेक्षा बाळगुपक वायट न्हय....	"	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Contemporary Text-T1_SP-0490_T1-0490.wav
पुर्तुगेजांच्या काळांत हे विचार उक्तावपाचे धाडस डॉ. लोहियांनी दाखयलें. मडगांवच्या इतिहासीक भाशणा उपरांत तांकां पुर्तुगेज अधिकाऱयांनी अटक केली. उपरांत गोंय मुक्त जालें. कसली मुक्ती मेळ्ळी आमकां. आयज आमच्याच राज्यांत लोकांच्या बऱयां वायटाचेर उलोवपाक आमकां मनाय आसा. कोण तरी स्वताक धर्मवादी म्हणून घेवपी, संविधानाक किंकोत लेखपी लोक शाळा-कॉलीजींनी वचून विचारवंतांचीं व्याख्यानां उधळावन लायतात आनी लोहियाचो वैचारीक वारसो मिरोवपी लोक ओगी बसून हो तमाशो पळयतात.	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Contemporary Text-T1_SP-0132_T1-0132.wav
पंकज अडवाणी संवसारीक बिलियडर्स वस्ताद	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Contemporary Text-T1_SP-0358_T1-0358.wav
आयचे घटकेक काँग्रेस पक्ष विरोधी पक्षाचेर मात करून आसा. तळागाळांत पक्षाचो वावर पातळटा. खूब जागृती जाल्ल्या पक्षाच्यो सगळ्यो वाटो पक्ष वावुरण्याक चलपाक मेकळ्यो आसात. आयज गरज आसा पक्षाच्या नेतृत्वाक चड करून अध्यक्षांक पक्षनिश्ठावंतांनी पुराय तेंको दिवपाची आनी पक्षाचे शिस्तबद्द शिपाय कशे पक्षा खातीर वावुरपाची.	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Contemporary Text-T1_SP-0123_T1-0123.wav
राणेची योग्य शिटकावणी	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Contemporary Text-T1_SP-0368_T1-0368.wav
आयपीएल सोंपलें, आतां नदर टी-20 संवसारीक करंड सर्तीचेर	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Contemporary Text-T1_SP-0247_T1-0247.wav
श्रीलंकेंत चालू आशिल्ली तिरंगी माळ आनी ह्याच म्हयन्यांत दक्षिण आफ्रिकेंत जावपी चॅम्पियन्स ट्रॉफी खातीर भारतीय पंगडांत राहुल द्रविडाची निवड म्हणल्यार व्हड चूक अशें आदलो मुखेली महम्मद अझहरुद्दीनान म्हणलां. द्रविडाचे सुवातेर तरणाट्या खेळगड्याक सुवात दिवपाक जाय आशिल्ली अशें अझहरकाक दिसता. काँग्रेस पार्टीचे एके कार्यावळीत वांटो घेवपाक भोपाळांत आयिल्लो अझहरान पत्रकारां कडेन उलयतना वयली प्रतिक्रिया दिली.राहुल द्रविड एक उत्कृश्ठ खेळगडो आसा हातूंत मातूय दुबाव ना पूण दोन वर्सां उपरांत एका दिसाच्या पंगडांत पुनरागमन जावप ही गजाल पचपा सारकीं ना अशें अझहरान मुखार म्हणलें. हालीसारांक भारतीय पंगडांत फिटनेस संबंदान उप्राशिल्ल्या प्रस्नाचेर आपली प्रतिक्रिया दितना अझहरान म्हणलें, दरेक खेळगड्यान फिटनेसाचेर चड लक्ष दिवपाक. खास करून ही गजाल तरणाट्यांक खेळगड्यांक सांगपाक सोदता. खेळगडे जितके फिट आसतले तितकें बरें प्रदर्शन करपाक शकतले. 	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Contemporary Text-T1_SP-0501_T1-0501.wav
कोंकणीक तरणाटे कितले पयस !	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Contemporary Text-T1_SP-0106_T1-0106.wav
चूक कोणाची ?	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Contemporary Text-T1_SP-0353_T1-0353.wav
शिक्षण खोसदिणें करपाचे मार्ग सोदीत आयजवेर जायत्या शिक्षणतज्ञांनी साबार प्रयोग केल्यात. आपल्या अभ्यासाचेर आदारून कांय म्हत्वाचीं तत्वां चालीक लावपाचो यत्न केला. शिकप आनी शिकोवप हें निखठ्या उतरांच्या आनी आवाजांच्या गोंदळांत जावचे बदला शिकपी आनी शिकोवपी दोगूय क्रियाशील. निर्माण धर्मी, सुसंवादी जावन शिक्षण प्रक्रियेंतल्यान खोस आनी समाधान जोडूंक पावतले. असो विस्वास शिक्षणतज्ञांच्या विचारांतल्यान मेळटा. हेच नदरेन संगीत. नाटक, हस्तकला, चित्रकला आनी हेर कलांचे कितलेशेच प्रकार शाळांनी संस्कृतीक उपक्रम म्हूण वा अभ्यास पुरक उपक्रम म्हूण चलतात. वेळापत्रकांत तांचे खातीर वेळ दवरतात आनी सरकारी धोरणांत तर ह्या विशयां खातीर खाशेले शिक्षक दिवपाची तरतूद आसा. त्या प्रमाण चित्रकला. संगीत, खेळ हांचे शिक्षक शाळांनी आसतात. हे विशय शाळांनी शिकोवपा फाटलो उद्देश. भुरग्यां मदले सर्जनशीलतायेक वाट दाखोवप. सैमीक देण आशिल्ल्या भुरक्यांक तिचो वापर करून खोस घेवपा-दिवपाक सक्षम करप हो आसता. हो उद्देश कितपत फळादीक जाला. हे संबंदान गोंयांत कितेंय अभ्यास जाला आसत अशें दिसना. थळाव्या शासकीय वा बिगर शासकीय यंत्रणांनी अशे तरेचें कितेंय जाहीर केल्लें वा उजवाडायिल्लें पळोवंक ना.	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Contemporary Text-T1_SP-0143_T1-0143.wav
‘भुरगो हो मनशाचो बापूय’ अशें विलियम वर्डस्वर्थान आपले ‘माय हार्ट लिपस् अप’ कवितेंत म्हणलां. समाजाचो फुडार भुरग्यांचेर निंबून आसता. मात आमच्या भारतांत भुरग्यां कडेन आडनदर जाता. ल्हान पिरायेचेरूच भुरग्यांक कामाक लावन आमी तांचें मानसीक, शारिरीक, शिक्षणीक, सामाजीक खच्चीकरण करतात. सरकारान बाल कामगारांची प्रथा सोंपोवपाचो निर्णय घेतला. ते नदरेन यत्न चालू आसात अशें प्रसारमाध्यमांनी केन्ना केन्ना छापून येता. मात अजून ही समस्या सुटूंक ना. उरफाटी ती समाजाक दिसान दीस घट वेंग मारीत आसा. सरकाराच्या मतान आयज भारतांत 2 कोटी बाल कामगार आसात. मात बिगर सरकारी संस्थाच्या दाव्या प्रमाण देशांत उणेच 5 कोटी बाल कामगार आसात. संवसारांत 7 कोटीं परस चड बाल कामगार आसात. हाचो अर्थ आमच्या भारतांत हेर देशां परस चड बाल कामगार जाले. देश स्वतंत्र जावन 60 वर्सां जालीं तरीय आमी हाचेर उपाय काडपाक शकूंक नात हाची आमकां लज दिसूंक फावो. भुरगीं हीं फुलतीं फुलां. पूण भारतांत तीं फुलचे पयलींच पिसडून वतात.  	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Contemporary Text-T1_SP-0472_T1-0472.wav
फॉर्मुला वन सर्त भारतांतूच जातली :एक्लेस्टोन	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Contemporary Text-T1_SP-0356_T1-0356.wav
संवसारांत सगळ्यांत चड मनशांक मारपी जीव कोण? शींव, शार्क, सोरोप, सुणो.... ? न्हय. सगळ्यांत चड मनीस मरतात ते जळाराक लागून! विस्वाव बसना. पूण हें सत्य! आफ्रिका, दक्षिण अमेरिका, मॅक्सिको, मध्य अमेरिका आनी आशिया ह्या वाठारांनी जळारांनी फाटल्या कितल्याश्याच वर्सा सावन थैमान घालां. मलेरिया, हती रोग, डेंगी, चिकनगुन्या, मेंदूजोर सारकीं दुयेसां जळारांक लागून जातात. पयलीं वखदां नाशिल्ल्यान मलेरिया जाल्ले लोक मरताले. मात कालांतरान ताचेर वखदां आयलीं. 13 मे 1857 दिसा अल्मोडा- भारतांत जल्मल्ल्या रॉनाल्ड रोस ह्या शास्त्रज्ञान 1881 ते 1899 वर्सामदीं कोलकातांत किशोरीमोहन बंडोपाध्यायाच्या सांगातान मलेरियाचेर संशोधन केलें. 1902 वर्सा रोसाक वैजकी मळाचेर नोबेल फावो जालें. किशोरीमोहनाक इंग्लंडा वतीन भांगरा पदक मेळ्ळें. नर जळार 10 ते 20 दीस जाल्यार मादी जळार 3 ते 100 दीस जगता. मनशाक चाबता तें फकत मादी जळार. सध्या संवसारांत 3500 जातीचीं जळारां आसात. आधुनीक वैजकीशास्त्रान जळारां पसून जावपी दुयेंसांचेर वखदां सोदून काडल्यांत. मात तरीय वयर उल्लेख केला त्या वाठारांनी वर्साक 30 कोटी लोक जळार चाबिल्ल्यान दुयेंत पडटात. वर्साक 25 लाख लोकांक मरण येता. जळारां पसून दुयेंसां पातळचीं न्हय म्हूण संवसारभरांतलीं सरकारां आपापले परीन यत्न करीत आसात. संगणक सम्राट बिल आनी मेलिंदा गेट्स फांवडेशनान जळारां आडच्या वावरा खातीर 1 लाख डॉलरांचो निधी दिला. भारतांत 1947 त 8 लाख लोकांक मलेरिया, फाल्सिफेरमान मरण आयिल्लें. आतां हो आंकडो नियंत्रणा खाला आसा. मात तरीय वर्साक हजारभर लोक जळारां पसून जावपी दुयेंसान मरतात. फकत बिहार, उत्तर प्रदेशा सारक्या गरीब राज्यांनीच न्हय जाल्यार गोंया सयत सगळ्या राज्यांनी मलेरिया, मेंदूजोर जाल्ले दुयेंती मेळटात. गोंयांत सांगें तालुक्यांत ऑगस्टांत चिकुनगुन्या दुयेंस पातळिल्लें. भलायकी खातें अजून ताचेर नियंत्रण मेळोवपाक धडपडटा. ‘जळारां पसून जावपी दुयेंसां’ ह्या विशयाचेर गोंयांत 4 नोंव्हेंबरा सावन आंतरराष्ट्रीय परिशद जातली. गोंय विद्यापीठ, वैजकी महाविद्यालय आनी राष्ट्रीय मलेरिया संशोधन संस्थेच्या जोडपालवान महाविद्यालय आनी राष्ट्रीय मलेरिया संशोधन संस्थेच्या जोडपालवान ती जाता. ह्या वेळार संवसारीक भलायकी संस्थेचे तज्ञ हाजीर आसतले. मलेरिया संशोधन संस्थेचे पालवी संचालक डॉ. अश्विनीकुमारान पयर दुयेंसां आडावपाक लोकांनी पालव दिवचो असो उलो मारलो. पंचायत, पालिकांनी रसत्या कुशीक बांदिल्ल्या गटरांतलें उदक व्हांवन वचना. तें तुंबता. नाल्लाच्यो कट्ट्यो आमी भायर मेळटा थंय उडयतात. पिड्ड्यार जाल्ल्या टायरांचीं, फोलिणांची तीच गत. मागीर तातूंत उदक सांठवता आनी जळारां तांतयां घालतात. फकत नितळ उदकांतूच न्हय, जाल्यार घाणीच्या उदकांत, कोंडांतूय अॅडिस अॅल्बोपिक्टस जातीच्या जळाराची पैदास जाता अशे शास्त्रज्ञांक दिसूंक आयलां. विशेश म्हणल्यार ह्या जळाराचें प्रमाण दिसान दीस वाडत आसा. भलायकेचे नदरेन ही हुस्क्याची गजाल. जळारां पसून जावपी दुयेंसां आडावप सरकाराच्या हातांत आसा. बिल्डर इमारती बांदपाक घेतात तेन्ना दुसऱ्या राज्यांतल्यान मानाय हाडटात. तांकां कसलीं दुयेंसां जाल्यांत हें ते तपासून पळयनात. ताचो परिणाम मागीर थळाव्या लोकांचेर दिसून येता. जळारांक लागून ह्या कामगारांच्या रक्तांतलो विशाणू तांच्या रगतांत वता. अशे तरेन ही दुयेंसां पातळत वतात.  फाटल्या कांय वर्सांनी मलेरियाचे दुयेंती वाडत आसात. पणजी, ताळगांव, कांदोळी, कळंगूट, रायबंदर, वास्को, पर्वरी वाठारांत मलेरियाचे दुयेंती मेळ्ळ्यात. बिल्डरांनी आपल्या कामगाराची पुराय भलायकी तपासणी करून तांकां भलायकी कार्डा मेळटलीं हें पळोवपाक जाय. कांय बिल्डर हाचे कडेन आडनदर करतात. दंड भरून मेखळे जातात. हीं बेजापसालदारपणां सरकार कितलो तेंप सोंसतलें? सरकारान मलेरयाचो प्रभाव आशिल्ल्या वाठारांनी वखदां, मच्छरदाणयो दिल्यात. पूण तरीय मलेरियाचें प्रमाण उणें जावपाचें चिन्न ना. अदीं मदीं हें दुयेंस तकली वयर काडटाच. गटारां, कोंडो सारकीं जळारां पैदास केंद्रां मुळा सावन नश्ट जायनात ते मेरेन हीं दुयेंसां पातळत रावतलीं.  	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Contemporary Text-T1_SP-0479_T1-0479.wav
ह्या भुरग्यां-कायद्या वरवीं भुरग्यांची खेरीत तरेन राखण जाता. ह्या कायद्याक लागून तांच्या आंगाक दुखापत करूंक जायना, तांकां अमकी पिराय जाले शिवाय कामाक दवरूंक मेळना. भुरग्यांक आदार करपी आनिकूय नेमावळ थंय आसा.	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Contemporary Text-T1_SP-0090_T1-0090.wav
साहित्य अकादेमीची महत्तर सदस्यता- फॅलोशिप साहित्याकारांच्या संवसारांतलो सगळ्यांत व्हडलो भोवमान मानतात. अकादेमीक हांव ह्या भोवमानाक पात्र दिसलों म्हूण अकादेमीच्या सगळ्या वांगड्यांचे काळजा सावन उपकार मानप म्हजें कर्तव्य. साहित्य अकादेमीचे सगळे वांगडी हांगा म्हजे मुखार बसल्यात देखून, सगळ्यांत पयलीं, तांकां देव बरें करूं!	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Contemporary Text-T1_SP-0141_T1-0141.wav
जगांतलो सगळो हिंदू जाती-कातींनी आनी वर्णभेदांनी वांटून गेला. तेत्रा हिंदू मदले खंयचेय एके जातीतले व्यक्तीन वा संस्थेन समस्त हिंदूंचो मक्तो घेवपाचो यत्न करचो न्हय. तांणी सगळ्यांत पयलीं हिंदू भितर हे जे भेद आसात ते पयलीं निवळ करचे. ते पासत वावुरचें.	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Contemporary Text-T1_SP-0140_T1-0140.wav
